392586590192537600	explosive_unit kiloton unit_of_energy method_(computer_programming) currently likely best prepared fire conflagration fire event_(philosophy) never danger risk event_(philosophy) management decrease bring_down last period week unit_of_time
390171778376400898	month October Gregorian_calendar_month Ou_Nederlandse_maandname spectral_color red primary_color color
329506720076427264	holder incumbent official economics position politician technology electrical_engineering descent collapse state_highway toll_road road Asian_country Bangladesh nation country dried_fruit raisin grape
327060274836287490	pictorial_representation photography photography Subcategory art science time dead illness collapse Census-designated_place Fábrica_(Texas) covering clothing consumer_goods matter material materialism Asian_country Bangladesh nation country
332261878682226688	being person causal_agency subjectivism subject ache die descent collapse industrial_plant factory building business Industrial_architecture Asian_country Bangladesh nation country greater misfortune disaster event_(philosophy) risk industrial humanities history bibliography abstract_object organization presentation communications_protocol HTTP Application_layer
324954805527273473	awful chemical_reaction explosion discharge chemistry physics thermodynamics low_explosive Process_(science) volume Sweden municipality building_complex industrial_plant building chemical_substance fertilizer agriculture flora Earth chemistry chemical_compound material materialism American_state Texas U.S._state expression search person survivor being person causal_agency subjectivism subject human missing_person person missing television_station American_Broadcasting_Company company film telefilm network ABC_News
329613477691932673	worry fear being person causal_agency subjectivism subject dead descent collapse structure building house technology architecture architectural_structure Structure construction Asian_country Bangladesh nation country spiritual_leader pope Catholic human profession leader terminology bishop activity job labour Expressão_idiomática hypothesis person slave
232865178616737793	activity sex behavior Human_sexuality activity be_able_to comprise pleasant unit_of_time day International_System_of_Units Present_day today
358290580062760960	given_name Paul last_name male_given_name name always rock_band Beatles rock_band band musical_group favorite
392030903632818176	part zone so City Penrith,_New_South_Wales suburb execute risk Financial_risk destroy burn coming period day
305916691907489792	item piece meteoroid meteorite rock Slavic_language Russian language natural_language language film Crumb_(film) documentary_film Serial_(radio_and_television) Boss_(TV_series) broadcasting television Mediu_(arte_și_cultură) data-storage_medium direction formula encounter perception looking Serial_(radio_and_television) following covalent_bond chemical_bond atom attraction chemistry force phenomenon Intramolecular_force molecule Euclid's_Elements
243868972875927552	Geological_survey United_States_Geological_Survey authority settlement Alerta Cities_of_Japan American_state California Los_Angeles U.S._state Southern_Pacific_Transportation_Company Chicago,_Rock_Island_and_Pacific_Railroad Pennsylvania_Railroad workplace telephone_exchange System month September Gregorian_calendar_month Ou_Nederlandse_maandname leap_year 2012 year tropical_year annum ampere age anomalistic_year year time Greenwich_Mean_Time time_standard time_zone System scale disaster tsunami wave natural_disaster
302555741569572866	dramatic_composition act division
246829379785736193	geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography ratio order_of_magnitude number Level_of_measurement location part land island landform location place Geographical_feature composition island Canary_Islands Autonomous_communities_of_Spain archipelago location part European_country Spain country nation Member_state_of_the_European_Union unit_of_time hour unit organization political_party political_organisation
210207724561108993	geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography land island landform location place Geographical_feature composition king Solomon monarch human
